CVEID	Method or Impact	Context	Artifact	Countermeasure	Phase	Category
CVE-2021-34527	Code Execution	Application	Application	Software Update	Containment	General
CVE-2021-34527	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2021-34527	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2021-34527	Privilege Escalation	Application	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2021-34527	Privilege Escalation	Application	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2017-0146	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2017-0143	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2019-0708	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2019-0708	Shutdown	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Asset Vulnerability Enumeration	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	DNS Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	File Carving	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2021-44228	Code Execution	Application	Application	Software Update	Containment	General
CVE-2021-44228	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2021-44228	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2022-42269	Trust Failure	Host Operating System	File System Metadata	Asset Vulnerability Enumeration	Identification	File
CVE-2013-6973	Code Execution	Application	Application	Software Update	Containment	General
CVE-2013-6973	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2013-6973	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2015-6538	Authentication Bypass	Application	Windows Shortcut File	File Encryption	Containment	File
CVE-2015-6538	Authentication Bypass	Application	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2015-6538	Authentication Bypass	Application	Windows Shortcut File	Decoy File	Identification	File
CVE-2015-6538	Authentication Bypass	Application	Windows Shortcut File	File Analysis	Identification	File
CVE-2015-6538	Authentication Bypass	Application	Windows Shortcut File	Asset Vulnerability Enumeration	Identification	File
CVE-2015-6538	Authentication Bypass	Application	Authentication	Authentication Event Thresholding	Identification	General
CVE-2015-6538	Authentication Bypass	Application	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2015-6538	Authentication Bypass	Application	Authentication	Session Duration Analysis	Identification	General
CVE-2015-6538	Authentication Bypass	Application	Authentication	Asset Vulnerability Enumeration	Identification	General
CVE-2015-6538	Authentication Bypass	Application	Authentication Log	Asset Vulnerability Enumeration	Identification	Network
CVE-2015-8453	Authentication Bypass	Host Operating System	Windows Shortcut File	File Encryption	Containment	File
CVE-2015-8453	Authentication Bypass	Host Operating System	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2015-8453	Authentication Bypass	Host Operating System	Windows Shortcut File	Decoy File	Identification	File
CVE-2015-8453	Authentication Bypass	Host Operating System	Windows Shortcut File	File Analysis	Identification	File
CVE-2015-8453	Authentication Bypass	Host Operating System	Windows Shortcut File	Asset Vulnerability Enumeration	Identification	File
CVE-2015-8453	Authentication Bypass	Host Operating System	Authentication	Authentication Event Thresholding	Identification	General
CVE-2015-8453	Authentication Bypass	Host Operating System	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2015-8453	Authentication Bypass	Host Operating System	Authentication	Session Duration Analysis	Identification	General
CVE-2015-8453	Authentication Bypass	Host Operating System	Authentication	Asset Vulnerability Enumeration	Identification	General
CVE-2015-8453	Authentication Bypass	Host Operating System	Authentication Log	Asset Vulnerability Enumeration	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Asset Vulnerability Enumeration	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	DNS Denylisting	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	File Carving	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2016-10609	Man-in-the-Middle	Host Operating System	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2016-1447	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2016-3085	Authentication Bypass	Application	Windows Shortcut File	File Encryption	Containment	File
CVE-2016-3085	Authentication Bypass	Application	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2016-3085	Authentication Bypass	Application	Windows Shortcut File	Decoy File	Identification	File
CVE-2016-3085	Authentication Bypass	Application	Windows Shortcut File	File Analysis	Identification	File
CVE-2016-3085	Authentication Bypass	Application	Windows Shortcut File	Asset Vulnerability Enumeration	Identification	File
CVE-2016-3085	Authentication Bypass	Application	Authentication	Authentication Event Thresholding	Identification	General
CVE-2016-3085	Authentication Bypass	Application	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2016-3085	Authentication Bypass	Application	Authentication	Session Duration Analysis	Identification	General
CVE-2016-3085	Authentication Bypass	Application	Authentication	Asset Vulnerability Enumeration	Identification	General
CVE-2016-3085	Authentication Bypass	Application	Authentication Log	Asset Vulnerability Enumeration	Identification	Network
CVE-2016-3085	Privilege Escalation	Application	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2016-3085	Privilege Escalation	Application	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2016-3085	Privilege Escalation	Application	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2016-3085	Privilege Escalation	Application	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2016-3085	Privilege Escalation	Application	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2016-3085	Privilege Escalation	Application	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2016-3085	Privilege Escalation	Application	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2016-3085	Privilege Escalation	Application	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2017-18862	Authentication Bypass	Firmware	Windows Shortcut File	File Encryption	Containment	File
CVE-2017-18862	Authentication Bypass	Firmware	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2017-18862	Authentication Bypass	Firmware	Windows Shortcut File	Decoy File	Identification	File
CVE-2017-18862	Authentication Bypass	Firmware	Windows Shortcut File	File Analysis	Identification	File
CVE-2017-18862	Authentication Bypass	Firmware	Windows Shortcut File	Asset Vulnerability Enumeration	Identification	File
CVE-2017-18862	Authentication Bypass	Firmware	Authentication	Authentication Event Thresholding	Identification	General
CVE-2017-18862	Authentication Bypass	Firmware	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2017-18862	Authentication Bypass	Firmware	Authentication	Session Duration Analysis	Identification	General
CVE-2017-18862	Authentication Bypass	Firmware	Authentication	Asset Vulnerability Enumeration	Identification	General
CVE-2017-18862	Authentication Bypass	Firmware	Authentication Log	Asset Vulnerability Enumeration	Identification	Network
CVE-2017-18862	Privilege Escalation	Firmware	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2017-18862	Privilege Escalation	Firmware	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2017-18862	Privilege Escalation	Firmware	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2017-18862	Privilege Escalation	Firmware	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2017-18862	Privilege Escalation	Firmware	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2017-18862	Privilege Escalation	Firmware	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2017-18862	Privilege Escalation	Firmware	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2017-18862	Privilege Escalation	Firmware	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2017-3167	Authentication Bypass	Application	Windows Shortcut File	File Encryption	Containment	File
CVE-2017-3167	Authentication Bypass	Application	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2017-3167	Authentication Bypass	Application	Windows Shortcut File	Decoy File	Identification	File
CVE-2017-3167	Authentication Bypass	Application	Windows Shortcut File	File Analysis	Identification	File
CVE-2017-3167	Authentication Bypass	Application	Windows Shortcut File	Asset Vulnerability Enumeration	Identification	File
CVE-2017-3167	Authentication Bypass	Application	Authentication	Authentication Event Thresholding	Identification	General
CVE-2017-3167	Authentication Bypass	Application	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2017-3167	Authentication Bypass	Application	Authentication	Session Duration Analysis	Identification	General
CVE-2017-3167	Authentication Bypass	Application	Authentication	Asset Vulnerability Enumeration	Identification	General
CVE-2017-3167	Authentication Bypass	Application	Authentication Log	Asset Vulnerability Enumeration	Identification	Network
CVE-2017-3167	Privilege Escalation	Application	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2017-3167	Privilege Escalation	Application	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2017-3167	Privilege Escalation	Application	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2017-3167	Privilege Escalation	Application	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2017-3167	Privilege Escalation	Application	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2017-3167	Privilege Escalation	Application	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2017-3167	Privilege Escalation	Application	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2017-3167	Privilege Escalation	Application	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2017-3795	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2017-8493	Authentication Bypass	Host Operating System	Windows Shortcut File	File Encryption	Containment	File
CVE-2017-8493	Authentication Bypass	Host Operating System	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2017-8493	Authentication Bypass	Host Operating System	Windows Shortcut File	Decoy File	Identification	File
CVE-2017-8493	Authentication Bypass	Host Operating System	Windows Shortcut File	File Analysis	Identification	File
CVE-2017-8493	Authentication Bypass	Host Operating System	Windows Shortcut File	Asset Vulnerability Enumeration	Identification	File
CVE-2017-8493	Authentication Bypass	Host Operating System	Authentication	Authentication Event Thresholding	Identification	General
CVE-2017-8493	Authentication Bypass	Host Operating System	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2017-8493	Authentication Bypass	Host Operating System	Authentication	Session Duration Analysis	Identification	General
CVE-2017-8493	Authentication Bypass	Host Operating System	Authentication	Asset Vulnerability Enumeration	Identification	General
CVE-2017-8493	Authentication Bypass	Host Operating System	Authentication Log	Asset Vulnerability Enumeration	Identification	Network
CVE-2019-0697	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2019-0697	Shutdown	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Asset Vulnerability Enumeration	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	DNS Denylisting	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	File Carving	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2019-10214	Man-in-the-Middle	Host Operating System	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2019-10214	Privilege Escalation	Host Operating System	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2019-10214	Privilege Escalation	Host Operating System	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2019-10214	Privilege Escalation	Host Operating System	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2019-10214	Privilege Escalation	Host Operating System	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2019-10214	Privilege Escalation	Host Operating System	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2019-10214	Privilege Escalation	Host Operating System	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2019-10214	Privilege Escalation	Host Operating System	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2019-10214	Privilege Escalation	Host Operating System	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2019-10231	Authentication Bypass	Application	Windows Shortcut File	File Encryption	Containment	File
CVE-2019-10231	Authentication Bypass	Application	Windows Shortcut File	Local File Permissions	Identification	File
CVE-2019-10231	Authentication Bypass	Application	Windows Shortcut File	Decoy File	Identification	File
CVE-2019-10231	Authentication Bypass	Application	Windows Shortcut File	File Analysis	Identification	File
